Warranty Period(Days),Screen Size,Cpu,Ram,Gpu,OpSys,Weight,Price,Category,Label number
1,11.6,A,2,P,WI,0.98,14880,Home User,1
1,15.6,A,2,P,CH,2.19,15430,Home User,1
1,14,A,2,Q,WI,1.65,15430,Home User,1
1,14,A,4,P,WI,1.22,15733,Home User,1
1,15.6,A,4,P,LI,2,17369,Home User,1
3,14,A,4,P,WI,1.44,17757,Home User,1
1,14,A,2,P,WI,1.4,18532,Home User,1
1,15.6,A,4,P,WI,1.89,18997,Home User,1
1,11.6,A,2,P,WI,1.1,18997,Home User,1
1,15.6,A,4,P,WI,1.89,19300,Home User,1
3,14,A,4,P,WI,1.4,19307,Home User,1
1,14,A,2,P,WI,1.42,19307,Home User,1
1,14,A,4,P,WI,1.44,19307,Home User,1
1,15.6,A,4,P,NO,1.9,19568,Home User,1
1,13.3,A,4,P,WI,1.35,19773,Home User,1
1,15.6,A,4,P,NO,1.86,20005,Home User,1
1,15.6,A,4,P,NO,1.86,20083,Home User,1
1,14,A,4,P,WI,1.3,20160,Home User,1
1,11.6,A,4,P,CH,1.25,20548,Home User,1
3,14,A,4,P,WI,1.4,20548,Home User,1
1,11.6,A,4,P,CH,1.15,20858,Home User,1
1,11.6,A,4,P,WI,1.4,20858,Home User,1
1,15.6,A,4,P,NO,1.9,20984,Home User,1
1,14,A,4,P,WI,1.43,21246,Home User,1
1,15.6,A,4,P,LI,2.2,21316,Home User,1
1,15.6,A,4,P,LI,2,21323,Home User,1
1,11.6,A,2,P,WI,1.1,21324,Home User,1
1,14,A,4,Q,WI,1.65,21555,Home User,1
1,14,A,2,P,WI,1.44,21634,Home User,1
1,14,A,4,P,WI,1.5,22176,Home User,1
2,15.6,A,4,P,NO,1.86,22401,Home User,1
1,14,A,4,P,WI,1.44,22642,Home User,1
1,11.6,A,4,P,CH,1.26,22874,Home User,1
2,11.6,A,4,P,CH,1.25,23029,Home User,1
1,14,A,4,P,WI,1.5,23107,Home User,1
1,15.6,A,4,Q,LI,2.1,23107,Home User,1
3,15.6,A,4,Q,WI,2.19,23107,Home User,1
3,15.6,A,4,P,NO,1.86,23184,Home User,1
1,14,A,4,P,WI,2.1,23184,Home User,1
1,11.6,A,4,P,WI,1.16,23184,Home User,1
1,14,A,4,P,WI,1.63,23184,Home User,1
1,15.6,A,4,P,WI,2,23572,Home User,1
1,11.6,A,2,P,WI,1.15,23607,Home User,1
1,15.6,A,4,P,WI,2.2,23727,Home User,1
1,15.6,A,4,P,WI,1.8,23960,Home User,1
1,15.6,A,4,Q,NO,2.2,23960,Home User,1
2,15.6,A,4,Q,WI,2.2,23960,Home User,1
3,15.6,A,4,Q,WI,2.1,24658,Home User,1
1,15.6,A,4,P,NO,2.2,24967,Home User,1
2,14,A,4,P,CH,1.5,25201,Home User,2
1,15.6,A,8,P,NO,2.2,25511,Home User,2
1,14,A,4,P,WI,1.6,25511,Home User,2
1,14,A,2,P,CH,1.68,25588,Home User,2
1,15.6,A,4,Q,WI,2.1,25588,Home User,2
0,11.6,A,4,P,WI,1.2,26364,Home User,2
1,15.6,A,4,P,WI,2,26674,Home User,2
1,15.6,A,4,P,WI,2.2,26674,Home User,2
1,15.6,A,4,R,NO,1.86,26751,Home User,2
1,15.6,A,4,P,WI,2.1,26906,Home User,2
3,15.6,A,4,P,WI,2.1,26984,Home User,2
1,14.1,A,4,P,WI,1.65,26984,Home User,2
3,14,A,4,P,CH,1.68,27061,Home User,2
1,14,A,4,P,WI,1.6,27061,Home User,2
1,11.6,A,4,P,WI,1.25,27061,Home User,2
1,15.6,A,4,P,WI,2.2,27061,Home User,2
3,15.6,A,4,Q,WI,2.1,27061,Home User,2
1,15.6,A,4,Q,WI,2,27061,Home User,2
3,15.6,A,4,Q,WI,2.2,27061,Home User,2
1,15.6,A,4,R,NO,2.1,27061,Home User,2
3,11.6,A,4,P,CH,1.35,27527,Home User,2
1,15.6,A,4,P,CH,2.2,27837,Home User,2
1,15.6,A,4,R,LI,2.25,27837,Home User,2
1,15.6,A,4,P,NO,2.2,27914,Home User,2
3,15.6,A,4,Q,WI,2.1,28187,Home User,2
1,15.6,A,4,R,NO,1.86,28294,Home User,2
1,15.6,B,4,P,LI,2.1,28457,Home User,2
2,15.6,A,4,P,WI,2.2,28612,Home User,2
1,13.3,A,4,P,WI,1.2,28612,Home User,2
2,15.6,A,4,Q,NO,2.2,28612,Home User,2
1,15.6,A,4,Q,WI,1.86,28612,Home User,2
1,11.6,A,4,P,WI,1.5,29078,Home User,2
3,14,A,4,Q,CH,1.45,29078,Home User,2
1,11.6,A,4,P,CH,1.25,29388,Home User,2
1,17.3,A,4,Q,WI,2.8,29388,Home User,2
3,15.6,A,4,Q,WI,2.4,29465,Home User,2
1,15.6,B,4,P,WI,2.4,29775,Home User,2
1,11.6,A,4,P,CH,1.23,29853,Home User,2
1,11.6,A,4,P,CH,1.25,30163,Student,3
3,15.6,A,4,P,LI,2,30163,Student,3
1,15.6,A,8,P,WI,2.04,30163,Student,3
1,14,A,8,P,WI,1.94,30163,Student,3
1,14,A,4,P,WI,1.45,30163,Student,3
3,14,A,8,R,WI,2.1,30163,Student,3
1,15.6,A,4,R,LI,2.1,30241,Student,3
1,15.6,B,4,R,NO,1.86,30543,Student,3
1,15.6,B,4,Q,WI,2.1,30628,Student,3
1,15.6,A,4,R,WI,1.86,30783,Student,3
1,15.6,A,4,Q,WI,1.86,30899,Student,3
1,15.6,A,4,P,WI,1.86,30938,Student,3
3,15.6,A,8,P,WI,2,30938,Student,3
2,15.6,A,4,Q,LI,2,30938,Student,3
1,15.6,A,4,Q,WI,2.2,30938,Student,3
1,15.6,B,4,R,WI,2.2,30938,Student,3
1,15.6,B,4,R,WI,2.37,30938,Student,3
1,15.6,B,4,Q,WI,2.1,31016,Student,3
1,15.6,B,4,Q,WI,2.03,31249,Student,3
1,15.6,A,4,R,NO,1.85,31287,Student,3
1,15.6,A,4,R,WI,2.2,31714,Student,3
3,15.6,A,4,R,WI,2.4,31853,Student,3
3,15.6,A,4,Q,LI,2.1,31946,Student,3
1,15.6,A,4,R,WI,1.85,32171,Student,3
1,15.6,A,4,R,LI,2,32179,Student,3
1,15.6,A,4,R,WI,2.3,32461,Student,3
3,15.6,A,4,P,WI,2.2,32489,Student,3
1,15.6,A,4,P,WI,1.86,32489,Student,3
1,15.6,B,4,Q,WI,2.1,33032,Student,3
2,15.6,A,4,Q,LI,2.25,33187,Student,3
3,15.6,B,8,Q,WI,2.2,33265,Student,3
1,11.6,A,4,P,WI,1.4,33730,Student,3
1,15.6,A,4,Q,WI,1.86,34016,Student,3
1,17.3,A,4,R,WI,2.71,34040,Student,3
1,15.6,A,4,R,WI,1.91,34040,Student,3
1,15.6,A,4,R,WI,1.86,34040,Student,3
1,15.6,B,6,R,WI,2.3,34040,Student,3
1,15.6,B,4,R,LI,2.4,34257,Student,3
1,15.6,A,4,R,LI,2.18,34420,Student,3
1,15.6,A,4,R,NO,2.2,34428,Student,3
1,15.6,A,8,Q,WI,1.91,34575,Student,3
1,15.6,A,4,R,WI,2.1,34660,Student,3
1,15.6,A,4,R,WI,2.1,34660,Student,3
1,12.3,A,6,P,WI,1.4,34815,Student,3
1,15.6,A,4,Q,WI,2.2,34815,Student,3
1,15.6,A,4,Q,WI,2,34815,Student,3
1,15.6,A,4,R,WI,1.85,34815,Student,3
1,15.6,A,4,R,WI,2.1,34815,Student,3
3,15.6,A,4,Q,NO,1.9,34893,Student,3
1,15.6,A,4,R,WI,2.4,34893,Student,3
1,15.6,B,4,Q,WI,2.1,34971,Student,3
2,15.6,A,4,Q,LI,2.18,35335,Student,4
1,15.6,A,8,Q,NO,2.2,35591,Student,4
1,15.6,A,8,R,WI,2.29,35591,Student,4
1,15.6,B,8,R,WI,2.3,35591,Student,4
1,13.3,A,4,Q,CH,1.45,35661,Student,4
1,15.6,B,4,R,NO,2.15,35851,Student,4
1,15.6,A,4,Q,LI,2.18,36056,Student,4
3,15.6,A,4,Q,LI,2.25,36104,Student,4
2,17.3,A,4,Q,WI,2.8,36134,Student,4
1,15.6,B,4,R,NO,2.2,36211,Student,4
1,15.6,B,4,R,NO,2.2,36289,Student,4
2,15.6,A,4,Q,NO,2.2,36366,Student,4
1,15.6,A,4,Q,WI,2.1,36366,Student,4
1,15.6,A,8,Q,WI,2.23,36366,Student,4
1,15.6,B,4,Q,WI,1.68,36366,Student,4
1,15.6,A,4,R,WI,2.2,36366,Student,4
1,15.6,A,4,R,WI,1.86,36366,Student,4
1,17.3,A,4,Q,WI,2.8,36470,Student,4
1,11.6,A,4,P,WI,1.4,36832,Student,4
1,11.6,A,4,P,WI,1.47,37142,Student,4
1,15.6,A,4,Q,NO,2.2,37142,Student,4
1,15.6,B,6,R,WI,2.1,37142,Student,4
1,11.6,A,4,P,WI,1.4,37607,Student,4
3,15.6,A,4,Q,LI,2.2,37607,Student,4
1,15.6,B,4,Q,WI,1.86,37893,Student,4
1,15.6,B,4,Q,WI,1.91,37916,Student,4
3,15.6,B,4,Q,WI,2.1,37917,Student,4
1,17.3,A,4,Q,WI,2.6,37917,Student,4
1,17.3,A,8,R,WI,2.54,37917,Student,4
2,17.3,A,4,R,WI,2.8,37917,Student,4
1,15.6,B,4,R,WI,2,37917,Student,4
3,15.6,B,4,Q,NO,1.9,37987,Student,4
3,15.6,A,4,Q,WI,2.1,37987,Student,4
1,15.6,B,4,R,WI,2.1,38227,Student,4
1,11.6,A,8,P,CH,1.4,38382,Student,4
3,15.6,A,4,Q,WI,2.1,38615,Student,4
1,15.6,B,4,R,WI,1.9,38615,Student,4
1,15.6,A,4,Q,WI,3.2,38685,Student,4
1,15.6,A,8,Q,NO,2.2,38692,Student,4
1,15.6,B,4,Q,NO,2.2,38692,Student,4
1,15.6,B,4,Q,WI,1.91,38692,Student,4
2,15.6,A,4,Q,WI,2.1,38692,Student,4
1,15.6,B,6,Q,WI,2.4,38692,Student,4
3,14,A,4,Q,WI,1.75,38692,Student,4
2,15.6,B,4,Q,WI,2.4,38692,Student,4
1,15.6,B,8,R,NO,2.2,38692,Student,4
1,15.6,A,4,R,WI,2.2,38692,Student,4
1,14,B,4,R,WI,1.3,39468,Student,4
1,15.6,B,4,Q,LI,2.1,40243,Student,4
3,15.6,B,8,Q,NO,2.2,40243,Student,4
1,17.3,A,8,Q,WI,2.8,40243,Student,4
1,17,B,8,Q,WI,2.6,40391,Student,4
1,15.6,B,4,Q,WI,2.04,40435,Student,4
1,15.6,B,8,R,LI,2.3,40553,Executive,5
1,17.3,A,4,R,NO,2.8,41019,Executive,5
1,15.6,B,4,Q,WI,2.2,41096,Executive,5
1,17.3,A,4,Q,WI,2.8,41096,Executive,5
3,15.6,B,4,R,WI,2.2,41484,Executive,5
3,15.6,A,6,Q,WI,2.04,41794,Executive,5
1,15.6,A,8,R,WI,1.86,41794,Executive,5
1,15.6,B,8,R,WI,2.14,41868,Executive,5
1,15.6,A,4,R,WI,2.23,42182,Executive,5
1,17.3,A,8,R,WI,2.65,42193,Executive,5
3,15.6,A,4,Q,WI,2.2,42311,Executive,5
3,15.6,B,4,Q,WI,1.9,42569,Executive,5
1,15.6,B,8,R,NO,2.2,42569,Executive,5
1,15.6,B,8,R,NO,2.2,42569,Executive,5
3,15.6,B,6,R,WI,2.2,42569,Executive,5
1,15.6,B,6,R,WI,2.23,42569,Executive,5
1,13.3,B,4,R,WI,1.5,42569,Executive,5
1,11.6,A,4,P,WI,1.59,42880,Executive,5
1,15.6,B,8,R,WI,2.36,43218,Executive,5
3,15.6,A,4,Q,WI,2.18,43314,Executive,5
3,15.6,B,4,Q,WI,2.4,43345,Executive,5
1,15.6,B,4,R,LI,2,43345,Executive,5
1,15.6,B,8,R,WI,2.04,43345,Executive,5
1,17.3,A,4,Q,WI,2,43733,Executive,5
1,15.6,B,6,R,WI,2.4,43733,Executive,5
1,15.6,B,8,Q,WI,2.24,43810,Executive,5
1,15.6,A,4,R,WI,2.3,43810,Executive,5
1,15.6,B,6,R,WI,1.91,44113,Executive,5
1,15.6,B,4,Q,LI,2.18,44120,Executive,5
3,17.3,B,6,Q,WI,2.65,44120,Executive,5
1,15.6,B,4,Q,WI,2.2,44353,Executive,5
1,15.6,B,4,Q,WI,2.2,44586,Executive,5
1,15.6,B,8,R,NO,1.86,44586,Executive,5
3,15.6,B,6,Q,WI,2,44741,Executive,5
2,15.6,B,6,Q,WI,2.2,44896,Executive,5
3,15.6,A,4,Q,WI,2.2,44896,Executive,5
1,15.6,B,4,R,NO,2.45,44896,Executive,5
1,15.6,B,8,R,WI,2.2,44896,Executive,5
3,15.6,C,6,S,WI,2.04,44896,Executive,5
1,15.6,A,8,Q,WI,2,45121,Executive,5
1,15.6,B,4,Q,WI,2.3,45361,Executive,5
1,14,A,4,R,WI,1.76,45361,Executive,5
1,15.6,B,4,R,WI,2,45453,Executive,5
