Item_name,Warranty Period(Years),Screen Size,Cpu,Ram,Gpu,OpSys,Weight,Price,Label of Model,Label number,Category
Asus E402WA-GA010T (E2-6110/2GB/32GB/W10) Notebook,1,14,A,2,Q,WI,1.65,15430,Dell Inspiron 3565 Laptop,1,Home User
Acer Chromebook C910-C2ST Notebook,1,15.6,A,2,P,CH,2.19,15430,Dell Inspiron 3565 Laptop,1,Home User
Vero K146 (N3350/4GB/32GB/W10) Notebook,1,14,A,4,P,WI,1.22,15733,Dell Inspiron 3565 Laptop,1,Home User
Asus A541NA-GO342 (N3350/4GB/500GB/LI) Notebook,1,15.6,A,4,P,LI,2,17369,Dell Inspiron 3565 Laptop,1,Home User
HP Stream 14-AX040wm Notebook,3,14,A,4,P,WI,1.44,17757,Dell Inspiron 3565 Laptop,1,Home User
Mediacom SmartBook 140 Notebook,1,14,A,2,P,WI,1.4,18532,Dell Inspiron 3565 Laptop,1,Home User
Asus VivoBook E12 Netbook,1,11.6,A,2,P,WI,1.1,18997,Dell Inspiron 3565 Laptop,1,Home User
"Chuwi LapBook 15.6"" Notebook",1,15.6,A,4,P,WI,1.89,18997,Dell Inspiron 3565 Laptop,1,Home User
"Chuwi Lapbook 15,6 Notebook",1,15.6,A,4,P,WI,1.89,19300,Dell Inspiron 3565 Laptop,1,Home User
Mediacom SmartBook 141 Notebook,3,14,A,4,P,WI,1.4,19307,Dell Inspiron 3565 Laptop,1,Home User
Lenovo IdeaPad 100S-14IBR Notebook,1,14,A,2,P,WI,1.42,19307,Dell Inspiron 3565 Laptop,1,Home User
Lenovo IdeaPad 120S-14IAP Notebook,1,14,A,4,P,WI,1.44,19307,Dell Inspiron 3565 Laptop,1,Home User
Lenovo V110-15IAP (N3350/4GB/1TB/No Notebook,1,15.6,A,4,P,NO,1.9,19568,Dell Inspiron 3565 Laptop,1,Home User
Mediacom SmartBook 130 Notebook,1,13.3,A,4,P,WI,1.35,19773,Dell Inspiron 3565 Laptop,1,Home User
HP 255 G6 Notebook,1,15.6,A,4,P,NO,1.86,20005,Dell Inspiron 3565 Laptop,1,Home User
HP 250 G6 Notebook,1,15.6,A,4,P,NO,1.86,20083,Dell Inspiron 3565 Laptop,1,Home User
Vero K147 (N3350/4GB/32GB/FHD/W10) Notebook,1,14,A,4,P,WI,1.3,20160,Dell Inspiron 3565 Laptop,1,Home User
Lenovo Chromebook N23 Netbook,1,11.6,A,4,P,CH,1.25,20548,Dell Inspiron 3565 Laptop,1,Home User
Mediacom Smartbook 142 Notebook,3,14,A,4,P,WI,1.4,20548,Dell Inspiron 3565 Laptop,1,Home User
Samsung Chromebook 3 Netbook,1,11.6,A,4,P,CH,1.15,20858,Dell Inspiron 3565 Laptop,1,Home User
Acer TravelMate B117-M Netbook,1,11.6,A,4,P,WI,1.4,20858,Dell Inspiron 3565 Laptop,1,Home User
Lenovo V110-15IAP (N3350/4GB/128GB/No Notebook,1,15.6,A,4,P,NO,1.9,20984,Dell Inspiron 3565 Laptop,1,Home User
Lenovo IdeaPad 100S-14IBR Notebook,1,14,A,4,P,WI,1.43,21246,Dell Inspiron 3565 Laptop,1,Home User
Dell Inspiron 3552 Notebook,1,15.6,A,4,P,LI,2.2,21316,Dell Inspiron 3565 Laptop,1,Home User
Asus X541NA (N3350/4GB/1TB/LI) Notebook,1,15.6,A,4,P,LI,2,21323,Dell Inspiron 3565 Laptop,1,Home User
Asus VivoBook Flip 2 in 1 Convertible,1,11.6,A,2,P,WI,1.1,21324,Dell Inspiron 3565 Laptop,1,Home User
Asus E402WA-GA007T (E2-6110/4GB/64GB/W10 Notebook,1,14,A,4,Q,WI,1.65,21555,Dell Inspiron 3565 Laptop,1,Home User
HP Stream 14-AX001nv Notebook,1,14,A,2,P,WI,1.44,21634,Dell Inspiron 3565 Laptop,1,Home User
Asus VivoBook E403NA Notebook,1,14,A,4,P,WI,1.5,22176,Dell Inspiron 3565 Laptop,1,Home User
HP 250 G6 Notebook,2,15.6,A,4,P,NO,1.86,22401,Dell Inspiron 3565 Laptop,1,Home User
Lenovo IdeaPad 120S-14IAP Notebook,1,14,A,4,P,WI,1.44,22642,Dell Inspiron 3565 Laptop,1,Home User
Dell Chromebook 11 Netbook,1,11.6,A,4,P,CH,1.26,22874,Dell Inspiron 3565 Laptop,1,Home User
Acer Chromebook C731-C78G Netbook,2,11.6,A,4,P,CH,1.25,23029,Dell Inspiron 3565 Laptop,1,Home User
Asus VivoBook E403NA Notebook,1,14,A,4,P,WI,1.5,23107,Dell Inspiron 3565 Laptop,1,Home User
Acer Aspire A315-31 Notebook,1,15.6,A,4,Q,LI,2.1,23107,Dell Inspiron 3565 Laptop,1,Home User
